10 10
1 1 3.14
1 2 2.71
1 3 4.20
1 4 1.23
1 5 0.99
1 6 5.55
1 7 6.66
1 8 9.87
1 9 2.22
1 10 7.77
2 1 8.88
2 2 6.99
2 3 1.11
2 4 3.33
2 5 2.22
2 6 4.44
2 7 9.99
2 8 7.77
2 9 5.55
2 10 0.33
3 1 2.22
3 2 0.99
3 3 6.66
3 4 9.99
3 5 5.55
3 6 4.44
3 7 1.23
3 8 3.33
3 9 8.88
3 10 7.77
4 1 9.87
4 2 2.22
4 3 7.77
4 4 8.88
4 5 4.20
4 6 6.99
4 7 1.23
4 8 0.33
4 9 3.14
4 10 2.71
5 1 5.55
5 2 7.77
5 3 3.14
5 4 9.87
5 5 4.44
5 6 0.99
5 7 6.66
5 8 8.88
5 9 1.23
5 10 2.71
6 1 3.33
6 2 2.22
6 3 5.55
6 4 1.11
6 5 9.99
6 6 7.77
6 7 6.66
6 8 4.20
6 9 2.71
6 10 8.88
7 1 1.23
7 2 8.88
7 3 7.77
7 4 4.20
7 5 9.99
7 6 0.33
7 7 3.33
7 8 2.71
7 9 5.55
7 10 6.66
8 1 4.44
8 2 3.14
8 3 2.71
8 4 6.66
8 5 8.88
8 6 5.55
8 7 1.11
8 8 0.99
8 9 7.77
8 10 4.20
9 1 2.71
9 2 9.99
9 3 0.99
9 4 3.14
9 5 2.22
9 6 4.20
9 7 1.23
9 8 8.88
9 9 7.77
9 10 6.66
10 1 5.55
10 2 7.77
10 3 3.14
10 4 9.99
10 5 4.44
10 6 0.99
10 7 6.66
10 8 8.88
10 9 1.23
10 10 2.71
